,date,Bitcoin_close,gold,dollar_index,CPI,PPI,UNRATE,FEDFUNDS,Oil,Bond2yr,Bond10yr,Phila,M1,NASDAQ,S&P 500,Energy,Materials,Industrials,Consumer Discretionary,Consumer Staples,Health Care,Financials,Information Technology,Communication Services,Utilities,Real Estate,AMD,NVIDIA
71,2020-09-01,11970.478516,"1,885.44",107.7764,1.37148,195.5,7.9,0.09,40.05,0.13,0.6795238095238095,"2,244.1",17098.6,11939.7,3526.7,264.1,406.6,662.5,1267.6,672.2,1247.6,416.4,2212.5,211.2,296.1,224.2,92.2,138.2
72,2020-10-01,10619.452148,"1,877.95",107.2355,1.18253,196.5,6.9,0.09,35.64,0.14,0.7871428571428571,"2,246.2",17279.3,11326.5,3380.8,220.4,394.5,648.7,1226.0,662.4,1225.2,401.2,2074.3,198.2,304.9,222.3,84.9,136.1
73,2020-11-01,13737.109375,"1,777.02",105.9291,1.16756,198.3,6.7,0.09,45.2,0.16,0.87,"2,663.5",17729.5,10911.6,3270.0,216.8,396.9,641.0,1172.0,639.5,1184.3,396.1,1948.7,196.6,316.9,211.5,75.3,125.3
74,2020-12-01,18802.998047,"1,896.49",103.9977,1.32204,200.5,6.7,0.09,48.35,0.13,0.9336363636363636,"2,795.5",17999.4,12355.1,3662.5,275.6,450.0,740.0,1284.0,692.4,1286.6,469.7,2198.7,219.5,320.1,228.7,92.6,133.9
75,2021-01-01,29374.152344,"1,846.09",103.3433,1.39478,204.8,6.3,0.09,52.16,0.11,1.0810526315789475,"2,887.1",17995.8,12888.3,3756.1,286.1,455.7,749.5,1302.6,696.3,1324.0,490.4,2291.3,221.9,319.1,227.9,91.7,130.6
76,2021-02-01,33537.175781,"1,733.49",104.018,1.69336,210.6,6.2,0.08,61.55,0.14,1.2578947368421052,"3,067.6",18283.3,13403.4,3773.9,298.6,450.0,723.9,1343.8,659.4,1345.2,486.4,2326.1,222.6,317.5,234.2,87.7,132.4
77,2021-03-01,49631.242188,"1,707.01",105.4659,2.63052,215.0,6.1,0.07,59.19,0.16,1.6108695652173912,"3,124.9",18895.6,13588.8,3901.8,369.5,472.8,783.8,1322.6,655.7,1327.3,552.4,2366.3,237.5,301.7,232.6,86.4,138.4
78,2021-04-01,59095.808594,"1,768.59",105.1724,4.13055,217.9,6.1,0.07,63.5,0.16,1.635,"3,109.0",18972.4,13480.1,4019.9,379.7,499.3,835.3,1354.1,697.8,1357.4,573.0,2380.0,244.2,325.2,250.9,81.1,138.1
79,2021-05-01,57828.050781,"1,906.36",104.2247,4.91503,224.9,5.8,0.06,66.31,0.14,1.621,"3,186.6",19135.5,13962.7,4181.2,371.6,521.0,861.5,1435.9,713.7,1412.9,602.0,2452.6,257.6,339.0,267.1,81.6,150.1
80,2021-06-01,36684.925781,"1,769.80",105.0971,5.28161,228.9,5.9,0.08,73.52,0.25,1.5190909090909093,"3,345.3",19236.9,13736.5,4202.0,405.1,554.9,890.2,1377.6,723.3,1413.8,634.3,2416.6,257.9,327.5,274.5,80.8,162.6
